customer_id,recharge_frequency,avg_recharge_amount,sim_age_months,call_stability,late_payment_ratio,avg_delay_days,upi_transaction_freq,credit_debit_ratio,location_stability,commute_regularity,daily_app_opens,avg_session_minutes,default_risk,default_probability
TRN_000000,4.745071229516849,479.26,43,0.2317,0.3175,6,8,0.97,16,4.14,3,5.8,0,0.2578
TRN_000001,4.563547027518508,409.9,10,0.3208,0.1722,0,8,1.22,19,4.88,5,5.0,0,0.1248
TRN_000002,5.160550625250522,419.28,4,0.1332,0.1961,0,4,0.65,10,2.3,4,11.3,0,0.491
TRN_000003,5.193393195843912,724.32,50,0.6847,0.2729,6,8,1.01,22,4.57,4,6.8,0,0.0665
TRN_000004,4.444180415596864,539.16,20,0.286,0.1825,0,10,1.18,29,2.99,2,7.8,0,0.3001
TRN_000005,7.694863168727929,471.15,18,0.2773,0.2248,7,12,1.33,18,3.58,2,5.7,0,0.2856
TRN_000006,5.220275826054505,315.37,17,0.1963,0.1678,0,11,1.19,19,3.61,2,5.9,0,0.4346
TRN_000007,2.7689765224724345,644.51,11,0.4269,0.1523,0,13,1.03,19,1.78,2,4.8,0,0.2916
TRN_000008,3.664805822011224,607.1,50,0.343,0.1595,0,6,1.15,19,3.46,4,9.2,0,0.3797
TRN_000009,5.5807030780523545,293.35,9,0.1193,0.1404,0,15,1.1,16,3.31,1,14.9,0,0.1461
TRN_000010,5.02939028556177,258.09,46,0.1318,0.0851,0,10,0.49,22,2.76,1,8.6,0,0.2772
TRN_000011,6.491952595912231,449.86,50,0.1182,0.129,0,7,1.41,21,1.46,1,7.3,0,0.5128
TRN_000012,3.970836788650678,360.11,60,0.0996,0.2762,7,11,0.92,25,1.28,1,14.3,0,0.4251
TRN_000013,3.065950720269109,468.78,37,0.2432,0.1253,0,8,1.27,21,4.96,3,12.7,0,0.2427
TRN_000014,3.3881269708430564,539.24,8,0.1942,0.1181,0,5,1.67,17,2.31,4,11.2,0,0.2308
TRN_000015,3.9867744306312884,186.5,40,0.6245,0.1865,0,12,1.17,11,4.95,6,1.9,0,0.3624
TRN_000016,3.546513636885538,499.32,30,0.1696,0.2807,5,19,1.12,18,3.78,4,11.0,0,0.3614
TRN_000017,5.464463689721654,282.07,5,0.6714,0.1106,0,13,1.66,21,2.67,2,7.8,0,0.1241
TRN_000018,4.443216286634775,335.4,4,0.3238,0.0149,0,10,1.01,19,3.69,2,3.2,0,0.2436
TRN_000019,7.071098381695357,517.23,8,0.3,0.3477,2,8,1.51,17,4.62,4,2.9,0,0.3553
TRN_000020,4.576098173408961,495.1,16,0.0363,0.2902,5,6,1.07,14,3.01,1,4.9,0,0.4709
TRN_000021,5.806952608863738,627.7,17,0.2147,0.1971,0,12,1.51,15,4.58,2,12.6,0,0.0821
TRN_000022,2.7842412295311716,364.32,35,0.2394,0.1126,0,10,1.81,21,1.51,3,11.0,0,0.1429
TRN_000023,4.844453855035856,402.4,41,0.2645,0.0981,0,7,1.26,19,2.12,2,8.6,0,0.2984
TRN_000024,1.0,431.21,4,0.1738,0.0492,0,6,1.11,22,3.73,4,8.5,0,0.2856
TRN_000025,4.732066119068124,737.02,38,0.2358,0.159,0,10,1.02,22,2.51,4,10.8,0,0.278
TRN_000026,5.23465746361751,633.86,15,0.4552,0.2749,5,11,1.78,24,4.29,2,11.9,0,0.2372
TRN_000027,3.358888086325787,417.1,48,0.3137,0.0367,0,15,0.83,27,3.34,2,1.0,0,0.4229
TRN_000028,4.885411928592682,532.53,44,0.1869,0.4376,7,8,1.06,17,4.68,3,7.2,0,0.2804
TRN_000029,3.6313854038710836,459.09,47,0.1388,0.3404,7,7,0.77,18,1.26,4,4.5,0,0.4492
TRN_000030,4.434763396252702,461.78,37,0.2005,0.1424,0,12,0.89,20,1.42,3,5.8,0,0.2939
TRN_000031,3.4377687886756036,606.64,29,0.2005,0.1473,0,13,1.63,15,3.36,3,2.7,0,0.2576
TRN_000032,5.4577340352591035,495.36,17,0.1338,0.3936,5,15,0.61,19,4.32,1,9.7,0,0.4923
TRN_000033,5.474036475918271,749.82,31,0.4359,0.3036,7,12,1.16,19,2.99,3,8.5,0,0.2677
TRN_000034,6.962541030446172,492.91,40,0.0845,0.0555,0,9,1.42,21,3.64,4,8.4,0,0.3882
TRN_000035,4.200771481368999,567.0,20,0.2348,0.2041,4,8,0.95,10,3.16,5,10.1,0,0.3414
TRN_000036,5.834756425887186,397.49,54,0.4994,0.0744,0,5,0.8,14,1.07,4,4.8,0,0.1978
TRN_000037,2.7616227354738085,846.46,58,0.1584,0.2835,8,9,0.94,21,4.26,2,12.6,0,0.5609
TRN_000038,3.0808169642734207,441.84,3,0.2755,0.2037,5,14,1.86,23,3.71,7,6.4,0,0.3578
TRN_000039,5.2861688975761085,651.28,51,0.5121,0.1758,0,10,0.98,15,4.92,4,8.8,0,0.1917
TRN_000040,4.807033532195266,507.19,54,0.6318,0.177,0,12,0.56,19,4.49,5,10.9,0,0.3926
TRN_000041,3.901374608390518,416.72,13,0.6877,0.1144,0,17,1.49,17,2.68,4,7.3,0,0.1864
TRN_000042,2.122690863714334,716.56,47,0.1721,0.1927,0,13,1.16,22,1.47,2,10.1,0,0.3306
TRN_000043,1.8538373468229277,519.22,30,0.2141,0.3151,7,6,0.89,19,3.24,1,8.6,0,0.1788
TRN_000044,3.6292339262191047,397.7,24,0.1425,0.0993,0,11,1.12,16,1.32,6,6.1,0,0.2443
TRN_000045,3.2741712489185177,451.95,20,0.4507,0.053,0,7,1.07,10,2.03,5,3.3,0,0.4062
TRN_000046,3.8419121118440107,767.12,12,0.0836,0.3433,6,14,1.26,17,2.44,2,6.9,0,0.2946
TRN_000047,5.741240181067779,429.84,16,0.5128,0.2947,6,12,1.18,18,4.22,3,7.8,0,0.2714
TRN_000048,5.09144431545547,507.79,51,0.3841,0.2667,4,12,1.18,17,1.71,8,6.0,0,0.323
TRN_000049,4.673842652379618,338.5,24,0.2268,0.072,0,13,1.2,17,3.67,5,7.5,0,0.2741
TRN_000050,2.355587369657197,283.99,9,0.6047,0.1756,0,11,0.89,16,3.08,1,14.8,0,0.0963
TRN_000051,1.7008062216064816,716.81,8,0.0287,0.2009,5,7,1.18,15,3.16,3,5.1,0,0.3626
TRN_000052,4.825078148536828,354.75,27,0.4359,0.2171,11,7,1.51,15,2.69,2,14.7,0,0.1456
TRN_000053,4.786544120879366,389.76,9,0.1794,0.2249,11,11,0.77,16,3.08,2,5.9,0,0.4748
TRN_000054,4.162814014042658,569.39,25,0.4399,0.0392,0,4,1.23,28,3.76,2,12.8,0,0.1602
TRN_000055,5.971014211965849,317.82,57,0.1812,0.3336,5,8,1.17,19,2.59,7,6.7,0,0.5062
TRN_000056,4.852661509384232,589.94,25,0.2076,0.0521,0,13,1.84,22,3.01,2,7.1,0,0.3184
TRN_000057,4.080982627668689,229.64,41,0.2483,0.1046,0,10,1.47,14,1.49,1,6.8,0,0.2987
TRN_000058,4.240860971574797,500.46,19,0.2288,0.0062,0,9,0.75,22,2.66,1,2.6,0,0.3543
TRN_000059,2.8053397284106305,516.33,54,0.1146,0.1807,0,10,1.05,16,2.9,4,11.4,0,0.2383
TRN_000060,1.601295270329481,438.99,5,0.1828,0.1687,0,10,1.13,20,1.34,2,13.2,0,0.2424
TRN_000061,5.948216987270579,352.86,49,0.1467,0.177,0,19,1.32,22,2.53,1,12.0,0,0.3915
TRN_000062,4.683831658122411,824.75,32,0.1217,0.3305,6,7,1.16,20,4.26,6,7.5,0,0.4945
TRN_000063,5.101673550231482,344.18,37,0.3009,0.0762,0,10,1.11,18,3.26,4,7.2,0,0.2493
TRN_000064,5.24268177354266,360.99,10,0.5085,0.183,0,13,0.67,13,4.51,6,4.7,0,0.4376
TRN_000065,2.8736416753298286,674.98,27,0.2239,0.3739,7,8,1.7,18,1.59,2,9.4,0,0.2569
TRN_000066,4.2847717543186965,586.51,8,0.6666,0.3462,4,8,1.2,15,4.49,4,7.6,0,0.2491
TRN_000067,6.658377395004616,749.19,38,0.1727,0.0659,0,3,1.14,15,4.63,3,6.4,0,0.2865
TRN_000068,4.152466431534265,330.35,21,0.0883,0.2023,6,7,1.24,19,1.46,1,7.9,0,0.4282
TRN_000069,3.3256359426620783,652.63,56,0.5862,0.328,9,10,1.13,17,4.15,2,11.5,0,0.1903
TRN_000070,1.8308079511597568,514.25,43,0.175,0.2149,8,8,1.66,22,4.66,3,11.2,0,0.4259
TRN_000071,3.358366469429872,460.17,42,0.3734,0.184,0,11,1.23,20,1.66,3,11.6,0,0.5305
TRN_000072,4.869449759820363,548.87,59,0.3286,0.137,0,10,0.46,18,2.34,3,6.2,0,0.2645
TRN_000073,3.383937011346375,400.59,58,0.0225,0.3375,5,14,1.09,23,3.57,3,9.5,0,0.4549
TRN_000074,4.525945148910338,573.38,26,0.2595,0.1593,0,10,0.45,33,2.69,1,10.5,0,0.3803
TRN_000075,4.2857495196686,606.42,39,0.1859,0.1687,0,14,0.94,21,1.39,1,2.3,0,0.2974
TRN_000076,1.5904344915862296,616.89,15,0.5298,0.1795,0,7,1.32,18,4.33,2,6.1,0,0.2505
TRN_000077,4.962895802442326,597.99,48,0.7049,0.0324,0,11,1.39,21,3.05,1,14.5,0,0.0934
TRN_000078,4.184807210176729,582.72,7,0.1554,0.1617,0,6,0.68,19,1.83,1,7.8,0,0.4692
TRN_000079,3.1337048597386694,572.02,5,0.6562,0.2831,8,15,0.86,19,4.3,2,6.6,0,0.2555
TRN_000080,6.418330942383136,634.53,45,0.3097,0.2117,7,12,0.76,15,3.31,1,8.3,0,0.3454
TRN_000081,2.458487288611063,689.86,17,0.1193,0.3608,12,6,0.77,13,2.38,1,11.9,0,0.5863
TRN_000082,3.156747960132547,468.62,52,0.0877,0.1523,0,18,1.23,7,2.55,1,7.2,0,0.5231
TRN_000083,4.841379171911858,455.68,21,0.4074,0.1458,0,10,1.62,21,2.76,2,14.7,0,0.2288
TRN_000084,3.291864133454309,203.11,8,0.3967,0.0666,0,11,1.37,17,2.9,5,6.9,0,0.2474
TRN_000085,3.0017718779646767,630.98,57,0.3708,0.1557,0,7,1.17,18,4.46,6,0.7,0,0.3788
TRN_000086,3.693317530472163,479.71,17,0.3481,0.1468,0,6,1.38,16,2.12,2,6.4,0,0.3525
TRN_000087,4.772564009914282,607.35,58,0.3938,0.2205,4,8,0.53,10,4.18,1,8.6,0,0.3208
TRN_000088,2.935641560570163,350.3,9,0.1141,0.13,0,11,0.73,20,4.55,4,4.7,0,0.4332
TRN_000089,5.265058933235588,583.92,27,0.1936,0.0783,0,6,0.91,15,1.25,1,8.0,0,0.3779
TRN_000090,2.6993046764336492,401.28,20,0.1688,0.1333,0,5,1.38,18,3.53,1,9.6,0,0.2322
TRN_000091,4.287260408189096,510.26,32,0.0803,0.1261,0,10,0.67,16,1.21,4,7.4,0,0.335
TRN_000092,7.155709138191114,459.05,43,0.5157,0.3499,6,5,1.44,15,1.06,2,7.3,0,0.1991
TRN_000093,1.0,471.35,56,0.5201,0.1545,0,6,1.3,12,1.07,3,9.8,0,0.3213
TRN_000094,1.972831352662043,600.53,26,0.5756,0.0988,0,10,0.61,10,1.9,1,11.8,0,0.2819
TRN_000095,2.3328130645944523,536.98,13,0.24,0.1495,0,10,1.0,13,3.52,3,8.5,0,0.3036
TRN_000096,1.5605209690576238,420.51,26,0.3152,0.4871,14,16,1.02,21,2.91,4,12.5,0,0.4453
TRN_000097,3.5304129542152687,499.89,25,0.0782,0.1183,0,10,0.99,17,4.97,1,6.1,0,0.2714
TRN_000098,5.9819560484095184,712.94,16,0.1706,0.2235,6,2,0.63,19,3.32,3,7.4,0,0.4783
TRN_000099,3.8086763194336988,726.67,45,0.0807,0.3205,10,14,0.93,7,4.06,1,3.0,0,0.5088
TRN_000100,1.0,390.27,20,0.0954,0.1321,0,7,0.9,17,3.64,1,5.5,0,0.3985
TRN_000101,4.627597331333026,710.24,47,0.5567,0.1269,0,9,1.26,21,4.68,5,10.7,0,0.0634
TRN_000102,2.1666822869906177,658.73,46,0.4069,0.2159,2,9,1.35,9,3.87,4,6.6,0,0.2002
TRN_000103,5.04021836787099,441.2,44,0.3597,0.3096,5,11,0.91,15,3.74,1,12.6,0,0.3922
TRN_000104,3.7697735815662154,708.09,7,0.4799,0.0822,0,22,0.81,18,4.88,1,10.7,0,0.3222
TRN_000105,1.2307182066428592,360.57,41,0.1018,0.124,0,11,0.94,19,3.59,1,7.2,0,0.455
TRN_000106,5.5205136108157955,263.75,43,0.3049,0.1801,0,11,1.2,20,1.06,4,6.8,0,0.3326
TRN_000107,2.703413393628729,478.86,13,0.2931,0.4346,7,7,1.61,19,1.32,7,7.1,0,0.4834
TRN_000108,5.330936255900113,385.51,37,0.2553,0.2204,9,13,1.02,17,2.2,1,10.4,0,0.3217
TRN_000109,4.3780905140579165,443.58,49,0.6459,0.3248,5,10,1.41,22,4.66,5,6.6,0,0.2222
TRN_000110,2.7228903486095297,526.28,18,0.6218,0.3125,5,6,1.58,21,3.06,1,7.2,0,0.2905
TRN_000111,2.8305155793089356,456.82,13,0.4644,0.1948,0,10,1.5,21,1.69,5,1.0,0,0.1556
TRN_000112,4.383075633511476,365.7,32,0.243,0.1731,0,13,1.18,18,3.51,2,8.8,0,0.4833
TRN_000113,4.558158208910294,558.37,27,0.1694,0.0629,0,10,1.47,25,1.27,4,6.6,0,0.2217
TRN_000114,4.316925538419209,680.01,20,0.2908,0.1145,0,12,0.91,21,1.87,2,9.8,0,0.3435
TRN_000115,2.8987393018322565,512.3,43,0.2137,0.1265,0,11,0.97,24,4.63,6,6.6,0,0.479
TRN_000116,3.672931156911439,372.85,47,0.2298,0.1721,0,12,1.11,22,3.77,4,9.8,0,0.2142
TRN_000117,4.694809438148685,294.93,38,0.5492,0.0891,0,9,1.2,16,4.55,6,3.3,0,0.2591
TRN_000118,4.918703191020404,347.5,17,0.1493,0.1736,0,13,1.31,21,4.35,7,13.3,0,0.285
TRN_000119,1.968972462252394,417.02,46,0.354,0.1421,0,11,1.26,17,3.71,3,11.3,0,0.3702
TRN_000120,2.0324758742998243,630.14,23,0.446,0.0798,0,6,1.26,18,2.61,2,12.0,0,0.2243
TRN_000121,5.14791465754714,239.14,56,0.4409,0.1886,0,14,1.29,21,4.21,1,8.8,0,0.3347
TRN_000122,3.9495811529444307,568.21,52,0.2032,0.1966,0,7,0.95,13,4.89,5,7.1,0,0.2363
TRN_000123,2.858220422778287,442.77,52,0.2146,0.2252,5,6,0.82,18,3.5,2,2.3,0,0.3152
TRN_000124,2.2212091793046955,151.71,6,0.2118,0.105,0,9,1.61,18,4.35,3,7.8,0,0.4458
TRN_000125,3.5890103772560438,463.49,17,0.1994,0.0981,0,9,1.3,13,1.74,2,6.4,0,0.3781
TRN_000126,2.34270581040622,533.08,55,0.5095,0.3105,6,11,1.06,16,2.94,1,4.4,0,0.1902
TRN_000127,2.998330665296671,543.83,5,0.1374,0.2431,4,8,1.33,18,1.2,1,8.6,0,0.1587
TRN_000128,6.587044974641662,456.88,54,0.5018,0.135,0,6,0.83,22,4.0,2,10.1,0,0.4142
TRN_000129,3.7366540817511766,600.3,23,0.1822,0.1601,0,16,1.57,16,4.79,4,11.0,0,0.4095
TRN_000130,6.209006013626473,409.4,28,0.3085,0.0743,0,4,0.75,13,1.6,4,11.6,0,0.3549
TRN_000131,4.700006472949122,728.15,20,0.0699,0.4192,7,10,0.69,13,3.19,7,14.0,0,0.4715
TRN_000132,5.288970686684459,570.01,7,0.4785,0.322,8,19,0.97,17,3.46,3,7.6,0,0.2906
TRN_000133,5.988694971313285,306.93,16,0.1387,0.0773,0,9,1.08,23,2.84,2,8.6,0,0.3429
TRN_000134,3.2352899602136764,505.17,39,0.022,0.1627,0,9,1.28,20,2.42,5,8.5,0,0.322
TRN_000135,3.5668070459507706,339.61,59,0.0681,0.1848,0,9,1.0,24,1.93,7,4.2,0,0.5321
TRN_000136,4.303493194634203,744.78,48,0.0831,0.2212,9,19,0.84,20,4.79,4,11.8,0,0.5544
TRN_000137,5.605915839968779,390.56,23,0.2768,0.1627,0,6,1.48,11,1.4,1,11.1,0,0.4658
TRN_000138,3.274657774230194,408.17,16,0.3773,0.0179,0,8,0.58,15,2.09,3,12.5,0,0.3703
TRN_000139,3.596475180377766,411.38,44,0.3754,0.2643,7,8,0.99,17,1.23,1,12.7,0,0.2202
TRN_000140,4.787785585506592,329.33,34,0.3788,0.2063,9,13,1.42,15,3.48,3,8.7,0,0.245
TRN_000141,4.655969780558441,527.78,28,0.2091,0.1771,0,14,0.88,20,2.3,5,10.8,0,0.2532
TRN_000142,5.093363733344173,344.41,59,0.524,0.2875,5,5,1.12,17,1.7,3,7.2,0,0.288
TRN_000143,5.406873306265982,501.87,44,0.6326,0.1412,0,8,1.02,22,3.72,2,5.4,0,0.1046
TRN_000144,5.780101930265996,715.45,32,0.2242,0.157,0,15,1.04,21,1.47,1,5.4,0,0.2134
TRN_000145,6.033164201658243,675.53,12,0.2321,0.4056,3,9,0.62,19,2.31,4,9.0,0,0.347
TRN_000146,4.324937463106928,346.14,19,0.3243,0.401,5,5,1.44,11,1.42,3,15.0,0,0.5784
TRN_000147,3.9707969513843544,374.34,11,0.0649,0.3607,5,8,1.06,17,2.82,3,9.3,0,0.4443
TRN_000148,3.109282887896942,475.16,18,0.5561,0.1295,0,9,0.89,20,4.25,4,13.9,0,0.3513
TRN_000149,6.710794965456827,247.6,50,0.2005,0.1363,0,14,0.9,16,3.16,1,7.4,0,0.3977
TRN_000150,2.8438944104487063,433.96,38,0.3496,0.3042,10,9,1.3,20,4.24,1,8.4,0,0.2678
TRN_000151,5.266424842146127,473.76,37,0.1502,0.2433,10,10,0.94,14,3.29,1,12.2,0,0.4279
TRN_000152,1.6834339699774206,519.84,19,0.1632,0.1479,0,9,0.39,23,3.02,1,7.0,0,0.5498
TRN_000153,6.845933042159667,523.5,50,0.237,0.286,4,6,1.35,19,1.02,4,8.3,0,0.4046
TRN_000154,2.626112909106359,670.14,40,0.1097,0.1925,0,15,0.83,23,2.6,4,4.1,0,0.3143
TRN_000155,6.398735026792922,680.15,30,0.3953,0.1993,0,6,0.35,17,1.63,6,0.1,0,0.2856
TRN_000156,5.714049874352774,240.12,60,0.0962,0.048,0,9,0.61,20,4.18,3,9.3,0,0.2858
TRN_000157,1.6482108619518163,552.01,40,0.6156,0.1505,0,6,0.99,11,3.2,3,10.8,0,0.213
